@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.124Feature84-0.122Feature85-0.121Feature162+0.121Feature149-0.121Feature52... numeric
@attribute -0.23Feature33-0.226Feature34-0.21Feature35+0.203Feature98+0.196Feature99... numeric
@attribute 0.186Feature103+0.157Feature96+0.149Feature94+0.148Feature95+0.147Feature25... numeric
@attribute '0.215Feature26+0.209Feature29+0.206Feature27+0.19 Feature28+0.189Feature102...' numeric
@attribute 0.216Feature50+0.215Feature14+0.214Feature92+0.212Feature128+0.207Feature76... numeric
@attribute Class {-1,1}

@data
6.138946,0.797172,-4.199986,-0.966365,0.64911,1
-2.628297,3.956895,0.41007,5.00171,-1.147871,1
-9.945299,0.416571,-2.724431,-2.648005,2.899623,-1
6.064769,-1.418104,0.000532,-0.22547,-1.225798,1
-2.731913,0.417449,5.766258,1.523241,0.752301,1
-7.495181,3.736147,-0.589327,0.737351,2.210235,-1
3.306281,2.232264,-4.12823,-2.118674,-0.922888,1
1.003634,1.222207,-2.601035,1.298215,-2.228744,1
-2.657005,-1.451171,4.234971,5.124571,-1.477715,1
0.961182,1.144304,-3.779202,1.262936,0.525808,1
0.604161,1.039151,-2.874715,-2.453759,-1.874093,1
8.854123,-1.163786,-0.662861,1.948895,1.977163,1
3.97975,1.527912,3.287769,1.626475,2.562878,1
2.986656,6.010473,3.050395,0.439736,4.298724,1
-15.362002,-12.750333,4.768642,-7.450857,0.115395,1
-8.701117,-1.054645,1.947944,4.70223,-3.685305,1
-6.323672,2.621732,3.928993,1.475814,2.407486,-1
-4.899944,3.690042,-3.816534,-0.183986,2.452928,-1
2.948347,1.08975,1.064995,0.444967,-2.740056,1
-1.35643,0.061629,-1.969388,0.159079,-0.221884,1
11.180506,-3.870278,1.589012,-3.40664,-2.415762,1
5.489574,5.304944,-0.182376,-0.92591,3.08186,-1
-4.729756,-1.757909,-1.868714,-4.26796,-0.2217,-1
-0.875859,3.348369,-0.096303,-0.674295,-0.135523,-1
-8.655018,1.721163,-2.837792,0.522659,2.50941,-1
7.762939,4.668865,-1.127886,-2.209422,0.050582,1
-10.200653,2.024539,2.251427,5.588754,-0.413329,-1
18.128511,-1.159265,4.508307,-0.630642,4.346507,1
26.615713,-2.136531,0.478825,-3.928471,1.563543,1
-2.582989,-3.269558,5.400753,0.323347,-3.306334,-1
5.562978,0.451104,-0.294827,-1.41049,1.623467,1
-5.920387,3.698895,-0.315002,3.009942,-2.255552,-1
-11.351252,4.005267,-2.796799,-0.884864,-3.480446,-1
0.89353,0.845257,-1.502035,-0.105077,-0.35604,-1
9.714624,1.009093,-0.832267,-0.750067,0.147795,1
2.682109,0.808609,-3.306854,-2.458537,-0.6674,-1
3.854944,2.469972,-2.235888,1.182908,-2.137624,1
0.175169,4.707964,1.774739,-2.38532,4.143228,-1
-3.74212,3.310666,0.069823,-3.735794,-0.30541,-1
5.187975,-2.253187,-3.381891,-3.136041,-3.739657,1
2.11692,-1.292867,-0.746451,-2.171812,-3.128427,1
1.750935,-2.838417,-4.612522,2.031227,0.341551,-1
9.85039,4.565835,5.814534,3.813897,1.011743,1
-6.681023,1.604581,1.995206,-0.809575,-2.912198,-1
0.096059,1.835419,1.527536,-0.695492,-0.496498,-1
-0.262921,-5.848245,-7.435433,10.139985,-3.060156,1
5.846263,4.216214,-0.435331,-1.541903,1.095656,1
4.647363,-2.727931,0.033172,2.886571,-0.860703,1
-3.953106,-8.112434,5.293403,-2.69449,-3.105342,1
-0.83489,-0.7088,-0.611127,-3.852545,0.634148,1
-1.890668,4.924001,2.276683,2.417889,2.500563,-1
3.513796,-1.366617,2.841951,1.756581,-2.07756,1
5.797293,-3.035504,3.359445,-2.675049,0.610643,1
5.916235,-4.681004,1.753441,0.028317,5.054344,1
-5.139193,0.935991,-0.627197,0.438699,-0.651564,1
6.119875,2.35468,-3.60739,-2.631149,-0.309391,1
5.365033,-9.306754,-3.216292,5.113,1.970931,1
8.650671,-2.942198,2.511614,-3.251089,-2.067831,1
9.176366,-4.940688,0.51622,4.609185,4.065841,1
3.404644,0.482621,1.037246,2.177248,-2.89138,1
4.036423,4.21745,-2.091277,-5.193696,0.59077,1
8.608806,6.797032,-0.734633,-4.366161,1.396796,-1
-8.129861,1.368114,4.783472,3.055519,0.745813,-1
3.73396,-3.009994,0.86816,0.314223,-1.780015,1
-1.736995,3.385676,-4.155767,-3.551256,-0.061019,-1
2.254861,2.880112,-2.437144,-1.583889,-2.271472,-1
0.127995,0.464081,-0.925595,2.064066,-0.603258,-1
-3.150596,-0.411497,-4.729857,-0.415248,0.632091,-1
-11.451121,0.476002,1.573552,-1.578003,-3.671329,-1
-1.605683,2.013282,2.446898,-6.016867,-0.587665,-1
1.429653,0.064133,-2.872209,1.436746,0.771904,1
-9.753237,0.049713,-1.474653,2.070519,-1.737042,-1
-9.279077,-6.539925,-4.193776,-3.376445,2.564727,-1
9.330801,0.447733,5.406823,3.155415,3.389516,1
-12.737568,1.526401,3.300818,0.94153,0.705554,-1
3.652622,0.309399,-1.599389,1.799758,-2.585772,-1
-11.164005,-1.006481,-5.234983,-1.34733,3.743364,-1
-4.472751,1.018613,0.781033,-2.916873,-1.952143,1
4.755949,-2.189045,8.394209,1.096597,1.953738,1
-8.765555,-2.762923,-1.488952,-4.714015,2.52998,-1
-18.638068,-6.672324,-7.865719,1.298053,2.806689,-1
8.548398,-3.789894,-7.036435,8.213711,-0.827057,1
-10.048586,3.86218,-0.95353,-1.840678,2.695565,-1
12.559718,-1.408803,0.794204,-0.728511,0.518335,1
1.761509,4.932238,-1.721522,1.297707,-1.229208,-1
-8.763904,2.686205,-0.392281,2.884203,-0.691545,-1
-4.176563,0.328515,-0.63248,2.588837,4.182408,1
13.821614,3.399135,1.79733,0.745345,1.792048,1
1.947228,5.678876,1.605521,3.632623,0.587804,1
-4.685093,-0.686248,3.952858,-4.851245,-3.259911,-1
4.155675,-3.956621,3.176063,0.087095,2.984559,1
2.438249,0.03935,-2.166053,-1.937715,-1.75043,-1
-1.970716,3.975144,-1.760044,0.502479,-2.586405,-1
-4.511314,-0.451528,-1.755209,-3.526912,0.511163,1
0.414615,-1.29213,-2.343051,0.227975,-0.124581,1
2.158619,-5.965205,2.369083,-1.686767,0.005064,1
-7.166277,-2.611158,-2.823466,-1.963954,-0.412711,-1
-9.322584,-1.550323,3.127471,-3.483816,-4.552445,-1
-11.307461,-1.204243,2.937108,-5.023456,-3.0663,-1
-11.1266,2.560052,-0.023894,3.462021,3.190847,-1
7.50063,-0.80393,3.683728,1.200917,0.771984,1
8.175998,3.902856,-1.599216,-4.107631,5.609117,-1
-11.67222,-4.672688,-3.337995,-3.096581,1.934409,-1
0.963175,-3.581626,0.844457,-3.685608,0.525826,1
-5.795635,3.179284,-0.219351,1.742631,-5.037543,1
-1.318534,2.69383,-0.129596,1.724053,0.771165,1
-5.544303,-1.007076,-1.045279,0.266393,3.029452,-1
-3.637749,-1.7002,-2.984713,1.363769,3.353579,1
-7.923739,-2.190611,1.445588,0.512799,-0.852347,1
0.52319,-2.612329,4.363831,2.579783,-0.48798,1
6.311733,-3.011536,-0.789975,-3.54033,-1.120465,-1
-12.902534,3.014752,0.554991,2.82264,-4.473733,-1
-9.354142,-1.140518,0.958772,-2.502454,-3.216486,-1
10.965592,2.724215,-1.00785,-1.993601,-1.122429,1
-4.192635,0.870376,1.569448,0.823461,0.038156,-1
12.805212,-2.919562,-3.398319,1.748787,-1.441637,1
3.208989,-3.028119,3.282007,1.5325,-3.767776,1
-4.451936,0.967513,1.003876,-3.500125,4.968968,-1
4.719313,1.520591,2.347486,-2.288439,-0.733621,1
3.915192,-0.928552,0.506136,-2.428471,-0.797245,1
5.722073,4.035857,-2.323202,0.126329,-0.389906,1
