@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.122Feature85-0.122Feature84-0.121Feature52-0.12Feature86-0.12Feature162... numeric
@attribute -0.23Feature34-0.228Feature33-0.222Feature35-0.201Feature32+0.197Feature98... numeric
@attribute 0.199Feature95+0.184Feature96+0.175Feature94-0.17Feature30+0.166Feature103... numeric
@attribute -0.234Feature27-0.221Feature25+0.204Feature92-0.2Feature28-0.189Feature26... numeric
@attribute 0.237Feature50-0.236Feature115+0.229Feature154+0.216Feature76+0.216Feature128... numeric
@attribute Class {-1,1}

@data
9.162861,1.016055,-0.222293,5.690312,2.666838,1
-5.052698,-0.027404,0.828261,-0.267399,-0.274419,-1
3.450034,-0.811889,-0.34243,2.439852,-5.43008,-1
-3.709866,3.28226,-2.883041,3.5989,0.961362,-1
-8.469444,-2.654278,-0.737094,5.122365,0.09957,-1
-7.180987,0.735615,0.191857,-1.394666,-0.465093,1
0.075691,2.032102,3.09056,0.168638,-1.38783,-1
-6.874795,-2.978798,-2.232638,1.75063,-1.269912,-1
5.673464,-3.059782,3.595663,2.163341,-0.453238,1
7.524835,-0.297745,-1.081574,-0.396262,1.665973,1
1.594747,4.373064,1.650411,-4.410473,5.675232,1
-2.909432,2.218259,-1.46577,1.021809,-2.747299,-1
3.139222,-2.757977,2.294604,0.831556,-1.161769,1
-1.389517,3.134537,-2.834783,5.06309,-1.884762,-1
1.011656,3.13565,1.48472,-1.400706,1.86717,1
6.478771,4.940765,2.598224,1.987818,0.878221,1
-1.145702,-0.079514,2.070756,1.87908,-1.388184,1
-10.846772,-5.137981,5.434322,1.180313,-4.138133,-1
-2.279884,-3.641108,4.888092,-2.967065,-2.296542,-1
-9.153479,-0.257359,-1.60002,-1.930897,-0.738597,-1
3.8349,2.770852,-0.604164,-0.890969,-1.381432,1
4.803419,-2.378359,7.636295,-2.027808,2.465489,1
8.341164,-3.511848,-9.133173,-5.94707,3.019602,1
2.486669,-0.292073,-1.705607,1.271176,-2.33443,-1
-0.263415,1.440107,-1.64369,-0.680794,-0.117083,1
9.041606,5.628816,-1.574419,1.31687,-1.397998,1
1.308265,0.859676,2.311667,2.39136,0.167558,-1
-6.069168,1.554438,-2.115513,-3.166224,-1.543552,1
-0.703167,-0.264076,2.899682,3.576692,-2.897925,-1
-9.161388,-4.719433,-2.442137,1.401006,3.368725,1
-4.104164,-0.253724,-1.570439,0.898343,-3.542762,-1
0.586315,2.208109,2.394186,-1.223889,-3.192435,-1
10.811572,-3.731428,2.092894,1.259315,-3.004647,1
-2.536058,-4.061893,6.446866,3.176262,3.839088,1
6.767074,-2.143102,-0.092708,-0.287689,5.073767,1
0.894042,-3.504279,1.381723,3.087197,-0.980714,1
-3.601347,2.945373,1.103334,3.223137,-2.02249,-1
5.965592,-1.321964,-0.14404,-0.525282,-1.033902,1
0.014208,3.725029,0.205042,-2.778077,-1.6853,1
3.794362,-0.823205,0.902327,1.842412,-1.918864,1
-0.746551,3.604499,-1.395784,0.078638,0.68259,-1
-10.917437,3.829048,-2.869979,0.200031,-3.531726,-1
