@relation 'Music_Emotion_Recognition-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.functions.SMO -F 5 -T 0.01 -R 1 -E DEFAULT -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Feature28 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature97 numeric
@attribute Feature102 numeric
@attribute Feature112 numeric
@attribute Feature114 numeric
@attribute Feature115 numeric
@attribute Feature152 numeric
@attribute Feature166 numeric
@attribute Class {-1,1}

@data
0.15556,0.074546,0.07896,0.90028,0.56162,0.31381,0.40624,0.70413,0.70248,0.23868,1
0.26279,0.1238,0.11623,0.80117,0.45209,0.34968,0.45066,0.80048,0.72059,0.27592,1
0.32217,0.068669,0.17469,0.80976,0.35455,0.41352,0.40086,0.74451,0.66567,0.37468,-1
0.30879,0.83451,0.33769,0.37526,0.45052,0.38373,0.70361,0.32519,0.24779,0.72732,-1
0.13377,0.34014,0.39696,0.78518,0.47784,0.30265,0.56134,0.17031,0.44168,0.56165,-1
0.27893,0.68486,0.71497,0.20252,0.87428,0.33528,0.42028,0.6104,0.68293,0.19885,1
0.31653,0.098801,0.10677,0.78395,0.5936,0.37534,0.39333,0.66585,0.73649,0.39574,1
0.26807,0.1161,0.18552,0.65136,0.71301,0.31309,0.28468,0.57674,0.71058,0.19191,1
0.49517,0.12655,0.34504,0.63615,0.45899,0.19706,0.82855,0.62743,0.76448,0.38004,1
0.38392,0.11932,0.2429,0.62881,0.73106,0.11949,0.7434,0.18289,0.65936,0.50276,1
0.39888,0.54068,0.26068,0.43695,0.25456,0.37267,0.30001,0.98303,0.89916,0.14963,1
0.31085,0.28176,0.18479,0.74343,0.52516,0.2491,0.61199,0.68962,0.65911,0.36239,1
0.13042,0.28439,0.24762,0.75755,0.2949,0.16824,0.7399,0.61997,0.66099,0.45947,-1
0.18204,0.217,0.21433,0.85862,0.26074,0.39528,0.59003,0.70704,0.6939,0.47205,-1
0.27215,0.21774,0.26119,0.74111,0.27576,0.31212,0.72569,0.74362,0.61611,0.42963,-1
0.35175,0.35543,0.58948,0.78148,0.64038,0.45435,0.56335,0.72785,0.53447,0.44884,1
0.32033,0.13706,0.34042,0.65067,0.67511,0.56986,0.40443,0.68086,0.6573,0.20798,1
0.23899,0.57821,0.40731,0.59872,0.56876,0.45646,0.46346,0.72642,0.65473,0.43895,1
0.23061,0.21254,0.32462,0.67243,0.51075,0.3656,0.5339,0.55775,0.54899,0.40283,-1
0.20899,0.73874,0.36949,0.35232,0.50272,0.49905,0.44911,0.46166,0.49519,0.47528,-1
0.22152,0.13944,0.17393,0.75398,0.52031,0.20582,0.45202,0.52097,0.55281,0.45061,-1
0.34406,0.29868,0.3675,0.65735,0.88415,0.5769,0.35691,0.71176,0.79702,0.19552,1
0.29239,0.33256,0.43305,0.66934,0.80099,0.3752,0.4919,0.48187,0.6004,0.38546,1
0.18293,0.44673,0.43613,0.50983,0.69268,0.3517,0.42905,0.72165,0.56558,0.41982,1
0.23318,0.16646,0.18052,0.92748,0.23783,0.4259,0.46266,0.8089,0.63249,0.53943,-1
0.33902,0.16402,0.20506,0.87334,0.26138,0.47486,0.46095,0.79263,0.55449,0.51854,-1
0.32019,0.30888,0.4318,0.75706,0.28303,0.43978,0.58733,0.71563,0.42505,0.73931,-1
0.3795,0.071779,0.2121,0.72743,0.58528,0.51974,0.56976,0.43249,0.68988,0.32338,1
0.28953,0.50394,0.61598,0.74389,0.62361,0.46912,0.69965,0.71925,0.38626,0.69475,1
0.39233,0.4416,0.48369,0.1859,0.58681,0.4991,0.5646,0.8297,0.69199,0.14976,1
0.28224,0.31161,0.32067,0.59298,0.60628,0.35892,0.57281,0.68749,0.59956,0.3968,1
0.22675,0.66183,0.39684,0.44793,0.62377,0.49899,0.58756,0.69204,0.55313,0.37411,1
0.16702,0.26329,0.17843,0.74692,0.46791,0.18169,0.4807,0.47145,0.52034,0.37077,-1
0.2764,0.13177,0.16234,0.75755,0.47418,0.18509,0.41253,0.69152,0.57456,0.32472,-1
0.28777,0.22602,0.25106,0.59127,0.61009,0.23277,0.43888,0.58587,0.57567,0.57708,-1
0.30807,0.20725,0.13496,0.81191,0.49419,0.33901,0.38427,0.66753,0.61935,0.49995,-1
0.50706,0.099244,0.10512,0.66331,0.55576,0.31823,0.55231,0.56646,0.6608,0.36437,1
0.37202,0.14018,0.12997,0.69348,0.58619,0.17444,0.31967,0.60695,0.68044,0.34401,1
0.33608,0.067594,0.036046,0.69577,0.53142,0.15722,0.27097,0.67059,0.70504,0.44592,1
0.32225,0.16774,0.29787,0.65772,0.35989,0.4058,0.41727,0.71679,0.54836,0.40873,1
0.38899,0.78319,0.42862,0.77244,0.7585,0.38421,0.24476,0.56991,0.67659,0.30579,1
0.56774,0.44919,0.44179,0.62046,0.5959,0.58754,0.35638,0.85969,0.78773,0.20501,1
0.37937,0.11928,0.12586,0.81497,0.5668,0.15507,0.36449,0.51032,0.80177,0.38493,1
0.38018,0.16844,0.28815,0.46207,0.74428,0.46215,0.61367,0.86193,0.97698,0.011101,1
0.40247,0.64264,0.5377,0.75741,0.43141,0.72914,0.41754,0.45821,0.62785,0.30354,1
0.36741,0.44441,0.72742,0.16719,0.3561,1,0.52067,0.52228,0.57207,0.41103,-1
0.20021,0.036669,0.16325,0.68222,0.55746,0.43632,0.32215,0.79695,0.83184,0.25606,1
0.33722,0.17776,0.21172,0.70379,0.51714,0.36899,0.58951,0.77561,0.71828,0.31353,1
